"","Area","Velocity","Points","Class","State"
"123",0.2200424,0,0.681967214,1,NA
"95",0.000190982,0,0.613114755,1,NA
"189",0.017991364,0,0.813114754,1,NA
"63",0.036362927,0,0.849180329,1,NA
"108",0.333955583,0.185527797,0.626229509,1,NA
"158",0.365653705,0,0.767213115,1,NA
"171",0.03681512,0,0.672131148,1,NA
"86",0.22528268,0,0.626229509,1,NA
"153",0.014356345,0,0.668852459,1,NA
"17",0.349077536,0,0.619672131,1,NA
"30",0.256068133,0.147619334,0.577049181,1,NA
"48",0.0010695,0,0.652459017,1,NA
"191",0.026317198,0,0.809836066,1,NA
"214",0.074499107,0.14092422,0.668852459,1,NA
"80",0.046561404,0,0.606557378,1,NA
"115",0.360446873,0.142411122,0.718032787,1,NA
"49",0.257673666,0.145900647,0.754098361,1,NA
"183",0.051114077,0,0.767213115,1,NA
"10",0.105819897,0,0.803278689,1,NA
"89",0.006569782,0,0.62295082,1,NA
"44",0.00805944,0,0.583606558,1,NA
"188",0.028344501,0,0.813114754,1,NA
"133",0.025223906,0,0.672131148,1,NA
"165",0.014516118,0,0.71147541,1,NA
"223",0.083639176,0.214106908,0.426229508,1,NA
"88",0.198850323,0.140818758,0.659016394,1,NA
"122",0.053735491,0.158570025,0.767213115,1,NA
"160",0.228203858,0.148621805,0.763934427,1,NA
"73",0.001680649,0,0.747540985,1,NA
"195",0.305779121,0,0.600000001,1,NA
"199",0.04948513,0,0.629508197,1,NA
"197",0.111531483,0,0.590163935,1,NA
"149",0.002123715,0,0.678688525,1,NA
"186",0.014697107,0,0.777049181,1,NA
"145",0.052455844,0,0.632786886,1,NA
"194",0.371916557,0,0.518032787,1,NA
"12",3.66e-05,0,0.855737705,1,NA
"210",0.121993249,0,0.649180329,1,NA
"50",0.114780298,0,0.73442623,1,NA
"209",0.03681512,0,0.668852459,1,NA
"193",0.321960279,0,0.527868853,1,NA
"47",0.000687536,0,0.681967214,1,NA
"152",0.110603365,0.156785278,0.514754099,1,NA
"144",0.101556316,0,0.609836066,1,NA
"114",0.010996482,0,0.662295082,1,NA
"137",0.015503154,0,0.813114754,1,NA
"66",0.026317357,0,0.763934427,1,NA
"184",0.016796771,0,0.809836066,1,NA
"117",0.082643682,0,0.636065574,1,NA
"41",0.007868464,0,0.681967214,1,NA
"37",0,0,0.58032787,1,NA
"202",0.010172133,0.19702666,0.590163935,1,NA
"190",0.013176725,0,0.790163935,1,NA
"75",0.003972419,0,0.721311476,1,NA
"71",0.001413267,0,0.71147541,1,NA
"23",0.010122056,0,0.796721312,1,NA
"57",0.013674312,0,0.747540985,1,NA
"150",0,0,0.419672131,1,NA
"32",0.154084313,0,0.655737706,1,NA
"11",0.025521281,0,0.826229509,1,NA
"386",0.617790831,0.183739576,0.390163935,2,NA
"242",0.388347782,0.264031115,0.740983607,2,NA
"315",0.458564354,0.246418919,0.560655738,2,NA
"321",0.576862489,0.158777472,0.55737705,2,NA
"290",0.634136046,0.169908955,0.504918034,2,NA
"366",0.228681695,0.253889354,0.44590164,2,NA
"343",0.844632853,0.233376368,0.498360656,2,NA
"420",0.577748081,0.210930293,0.462295083,2,NA
"364",0.68967824,0.196063592,0.521311476,2,NA
"292",0.764424708,0.151273428,0.600000001,2,NA
"300",0.381428701,0.16242693,0.652459017,2,NA
"279",0.705488277,0.211939717,0.495081967,2,NA
"303",0.576612421,0.203425089,0.626229509,2,NA
"361",0.090364255,0.159161077,0.606557378,2,NA
"403",0.484932999,0.213987539,0.449180328,2,NA
"396",0.738005094,0.175899442,0.550819673,2,NA
"378",0.20502398,0.228038356,0.350819672,2,NA
"426",0.688302069,0.204647756,0.452459017,2,NA
"414",0.735652542,0.189580562,0.593442623,2,NA
"392",0.710456191,0.188509714,0.554098362,2,NA
"381",0.164546397,0.267816167,0.42295082,2,NA
"306",0.322509791,0.181068251,0.760655738,2,NA
"348",0.173295595,0.224452639,0.459016394,2,NA
"320",0.272418126,0.229967967,0.596721312,2,NA
"384",0.345911068,0.239706421,0.386885247,2,NA
"331",0.632242219,0.238729446,0.58032787,2,NA
"241",0.464913217,0.147389867,0.527868853,2,NA
"409",0.645369997,0.208128011,0.531147542,2,NA
"373",0.641066277,0.206980673,0.495081967,2,NA
"247",0.18410427,0.21146224,0.53442623,2,NA
"432",0.560843797,0.249928147,0.508196722,2,NA
"387",0.601784881,0.19716689,0.321311476,2,NA
"342",0.152136967,0.17703403,0.829508197,2,NA
"416",0.423645611,0.165737981,0.521311476,2,NA
"260",0.679514645,0.167339616,0.508196722,2,NA
"287",0.615306078,0.210564073,0.547540984,2,NA
"308",0.541430867,0.201840837,0.295081968,2,NA
"227",0.225359135,0.14298479,0.44590164,2,NA
"359",0.485093871,0.223345865,0.249180328,2,NA
"224",0.377655381,0.158341716,0.649180329,2,NA
"328",0.273155589,0.195813265,0.783606558,2,NA
"275",0.711789357,0.193797893,0.675409837,2,NA
"237",0.524426237,0.144125174,0.750819673,2,NA
"345",0.123342025,0.262499015,0.731147542,2,NA
"374",0.338479108,0.198450979,0.518032787,2,NA
"365",0.505276118,0.200197481,0.436065574,2,NA
"398",0.641279711,0.156460779,0.55737705,2,NA
"407",0.7586381,0.169723527,0.462295083,2,NA
"428",0.197867572,0.21572361,0.645901639,2,NA
"352",0.599738145,0.196513255,0.160655739,2,NA
"341",0.135982409,0.209072535,0.606557378,2,NA
"271",0.661829893,0.169700348,0.465573771,2,NA
"238",0.334847546,0.154917091,0.619672131,2,NA
"232",0.132581324,0.176819629,0.639344263,2,NA
"354",0.254527905,0.204644279,0.645901639,2,NA
"351",0.19085133,0.146235577,0.636065574,2,NA
"417",0.522398615,0.215012029,0.311475411,2,NA
"339",0.328307548,0.171997339,0.701639345,2,NA
"401",0.50802846,0.201059721,0.540983607,2,NA
"255",0.641657203,0.215495302,0.550819673,2,NA
"509",0.365435493,0.287392742,0.668852459,3,NA
"502",0.04313579,0.290758262,0.029508197,3,NA
"579",0.254846463,0.344632088,0.196721312,3,NA
"584",0.250652646,0.35386409,0.350819672,3,NA
"563",0.357761429,0.379210957,0.193442624,3,NA
"528",0.574608691,0.289732612,0.442622951,3,NA
"514",0.28024032,0.283723582,0.140983607,3,NA
"470",0.449893203,0.373627253,0.160655739,3,NA
"580",0.081087525,0.300226686,0.157377049,3,NA
"478",0.046309903,0.361304394,0.127868853,3,NA
"565",0.166585169,0.366426846,0.160655739,3,NA
"488",0.623058189,0.36047808,0.347540984,3,NA
"460",0.629859404,0.265747484,0.24590164,3,NA
"586",0.043702505,0.336614638,0.052459017,3,NA
"442",0.592334856,0.386409045,0.37704918,3,NA
"537",0.170677048,0.346043659,0.157377049,3,NA
"513",0.200941657,0.31207902,0.144262296,3,NA
"533",0.184375044,0.35894598,0.242622951,3,NA
"560",0.144625368,0.345866343,0.183606558,3,NA
"493",0.088368648,0.270251069,0.537704919,3,NA
"581",0.230954607,0.252620331,0.416393443,3,NA
"471",0.559346573,0.291562556,0.350819672,3,NA
"466",0.609331521,0.226543341,0.554098362,3,NA
"552",0.440927386,0.336844106,0.304918033,3,NA
"517",0.157238515,0.26855672,0.403278689,3,NA
"511",0.647488408,0.319989847,0.495081967,3,NA
"530",0.282949657,0.327256312,0.190163935,3,NA
"543",0.390934474,0.325636134,0.154098361,3,NA
"558",0.382269695,0.381670197,0.383606558,3,NA
"467",0.572894849,0.349556363,0.488524591,3,NA
"503",0.22418047,0.296878549,0.173770492,3,NA
"480",0.230473585,0.345164034,0.101639345,3,NA
"459",0.385749942,0.277190718,0.308196722,3,NA
"486",0.262668656,0.279089038,0.173770492,3,NA
"482",0.601689313,0.256165485,0.501639345,3,NA
"526",0.301922976,0.313592577,0.137704919,3,NA
"524",0.410161047,0.270850235,0.203278689,3,NA
"498",0.166024507,0.3872991,0.108196721,3,NA
"550",0.174824673,0.284487314,0.324590164,3,NA
"538",0.232122122,0.311543596,0.304918033,3,NA
"452",0.34239578,0.342355956,0.160655739,3,NA
"444",0.200581687,0.322505875,0.029508197,3,NA
"512",0.374163984,0.338021575,0.324590164,3,NA
"473",0.237274799,0.368409768,0.252459017,3,NA
"566",0.452862165,0.307363351,0.298360656,3,NA
"505",0.140800441,0.30930687,0.304918033,3,NA
"437",0.128704791,0.320184547,0.540983607,3,NA
"515",0.23959868,0.268052587,0.459016394,3,NA
"446",0.135991329,0.260017755,0.288524591,3,NA
"492",0.139836803,0.303420685,0.314754099,3,NA
"546",0.320724273,0.34278476,0.193442624,3,NA
"548",0.24817745,0.297670096,0.311475411,3,NA
"465",0.280625776,0.277538395,0.177049181,3,NA
"551",0.444324808,0.274343237,0.278688525,3,NA
"516",0.469447891,0.366328337,0.340983607,3,NA
"527",0.272969232,0.240519987,0.295081968,3,NA
"472",0.393776012,0.318720824,0.196721312,3,NA
"576",0.307226967,0.243960838,0.416393443,3,NA
"570",0.464159826,0.302694039,0.226229508,3,NA
"574",0.6763211,0.303024333,0.537704919,3,NA
"710",0.036782786,0.583398619,0.065573771,4,NA
"638",0.161113934,0.471804494,0.131147541,4,NA
"905",0.192125563,0.476415859,0.157377049,4,NA
"950",0.203488529,0.513185098,0.026229509,4,NA
"1070",0.240108373,0.39121511,0.26885246,4,NA
"828",0.028228068,0.38307018,0.075409836,4,NA
"645",0.166567648,0.474165226,0.193442624,4,NA
"928",0.192302362,0.548407172,0.019672132,4,NA
"884",0.105584323,0.460693872,0.049180328,4,NA
"607",0.073890821,0.38825985,0.062295083,4,NA
"738",0.029307343,0.556319159,0.052459017,4,NA
"916",0.166959474,0.497792246,0.042622952,4,NA
"1069",0.310614833,0.42561087,0.468852459,4,NA
"726",0.020982305,0.53981026,0.193442624,4,NA
"1007",0.236413099,0.489322817,0.06885246,4,NA
"729",0.037080161,0.51893453,0.072131148,4,NA
"769",0.022044219,0.636205074,0.042622952,4,NA
"930",0.141935304,0.425680406,0.173770492,4,NA
"943",0.086470839,0.494678212,0.016393443,4,NA
"842",0.122208436,0.464179921,0.081967213,4,NA
"903",0.188798224,0.491382228,0.055737705,4,NA
"725",0.08320737,0.589564105,0.101639345,4,NA
