"","Area","Velocity","Points","Class","State"
"1",0.078138315,0.18767297,0.731147542,1,NA
"2",0,0,0.750819673,1,NA
"3",0.002489882,0,0.73442623,1,NA
"4",0.137602436,0.171708766,0.685245902,1,NA
"5",0.185862711,0.144871521,0.695081967,1,NA
"6",0.240895212,0,0.668852459,1,NA
"7",0.323172392,0,0.740983607,1,NA
"8",0.033283904,0,0.826229509,1,NA
"9",0.251807419,0,0.852459017,1,NA
"13",0.015744829,0,0.842622951,1,NA
"14",0.007982253,0,0.875409837,1,NA
"15",0.009520124,0,0.849180329,1,NA
"16",0.016587,0,0.842622951,1,NA
"18",0.210882262,0,0.659016394,1,NA
"19",0.122152051,0,0.754098361,1,NA
"20",0.031282881,0,0.790163935,1,NA
"21",0.011802689,0,0.793442623,1,NA
"22",0.013941694,0,0.760655738,1,NA
"24",0.009167146,0,0.793442623,1,NA
"25",0.019632893,0,0.793442623,1,NA
"26",0.016653579,0,0.777049181,1,NA
"27",0.009816479,0,0.731147542,1,NA
"28",0.416685117,0.171048179,0.606557378,1,NA
"29",0.313897574,0,0.550819673,1,NA
"31",0.008403212,0,0.573770492,1,NA
"33",0.046293975,0,0.619672131,1,NA
"34",0.006226011,0,0.616393443,1,NA
"35",0.002329982,0,0.583606558,1,NA
"36",3.82e-05,0,0.613114755,1,NA
"38",0.000114589,0,0.596721312,1,NA
"39",0.029678623,0,0.652459017,1,NA
"40",0.131319197,0,0.655737706,1,NA
"42",0.060121148,0,0.639344263,1,NA
"43",0.163519047,0,0.593442623,1,NA
"45",0.005309296,0,0.649180329,1,NA
"46",0.004392581,0,0.659016394,1,NA
"51",0.327382138,0.141822387,0.891803279,1,NA
"52",0.33899358,0,0.747540985,1,NA
"53",0.133954787,0,0.786885246,1,NA
"54",0.137659936,0,0.809836066,1,NA
"55",0.043620317,0,0.767213115,1,NA
"56",0.010924169,0,0.740983607,1,NA
"58",0.016195334,0,0.773770493,1,NA
"59",0.022803184,0,0.809836066,1,NA
"60",0.020702453,0,0.839344262,1,NA
"61",0.031817581,0,0.75737705,1,NA
"62",0.017073758,0,0.803278689,1,NA
"64",0.052099856,0,0.84590164,1,NA
"65",0.020664226,0,0.767213115,1,NA
"67",0.026661081,0,0.803278689,1,NA
"68",0.011879078,0,0.714754099,1,NA
"69",0.00496554,0,0.714754099,1,NA
"70",0.002559152,0,0.767213115,1,NA
"72",0.002406371,0,0.793442623,1,NA
"74",0.003093916,0,0.783606558,1,NA
"76",0.002597364,0,0.760655738,1,NA
"77",0.005347491,0,0.763934427,1,NA
"78",0.057943962,0,0.819672132,1,NA
"79",0.233571561,0.132750317,0.626229509,1,NA
"81",0.001871624,0,0.659016394,1,NA
"82",0.00607323,0,0.626229509,1,NA
"83",0.003323086,0,0.655737706,1,NA
"84",0.008899764,0,0.662295082,1,NA
"85",0.012604817,0,0.600000001,1,NA
"87",0.2382687,0,0.701639345,1,NA
"90",0.001451464,0,0.649180329,1,NA
"91",0,0,0.626229509,1,NA
"92",0,0,0.62295082,1,NA
"93",0,0,0.639344263,1,NA
"94",0.000458357,0,0.600000001,1,NA
"96",0.233800923,0,0.718032787,1,NA
"97",0.111609849,0,0.786885246,1,NA
"98",0.015431352,0,0.767213115,1,NA
"99",0.00813583,0,0.822950821,1,NA
"100",0.010465811,0,0.783606558,1,NA
"101",0.003323086,0,0.783606558,1,NA
"102",0.010733193,0,0.786885246,1,NA
"103",0.162936086,0,0.701639345,1,NA
"104",0.084299865,0.165099413,0.688524591,1,NA
"105",0.046603932,0,0.695081967,1,NA
"106",0.106539997,0,0.750819673,1,NA
"107",0.215085636,0,0.583606558,1,NA
"109",0.014284096,0,0.524590164,1,NA
"110",0.098288228,0,0.527868853,1,NA
"111",0.181328037,0,0.619672131,1,NA
"112",0.090976046,0,0.659016394,1,NA
"113",0.114102726,0,0.665573771,1,NA
"116",0.12294526,0,0.691803279,1,NA
"118",0.099081756,0,0.636065574,1,NA
"119",0.039224534,0,0.704918033,1,NA
"120",0.171013126,0,0.577049181,1,NA
"121",0.285284688,0.11814901,0.75737705,1,NA
"124",0.09517066,0,0.750819673,1,NA
"125",0.116313359,0.113923566,0.816393443,1,NA
"126",0.032762742,0,0.754098361,1,NA
"127",0.087235059,0,0.806557378,1,NA
"128",0.065468782,0,0.822950821,1,NA
"129",0.107130763,0,0.790163935,1,NA
"130",0.484241728,0.156940575,0.498360656,1,NA
"131",0.031175687,0,0.704918033,1,NA
"132",0.023580147,0,0.721311476,1,NA
"134",0.327797856,0.163392315,0.616393443,1,NA
"135",0.051217131,0.175647955,0.593442623,1,NA
"136",0.023998095,0.213694331,0.714754099,1,NA
"138",0.059888919,0,0.596721312,1,NA
"139",0.018511729,0,0.596721312,1,NA
"140",0.108380466,0,0.747540985,1,NA
"141",0.010901759,0.175989838,0.737704918,1,NA
"142",0.173889706,0,0.596721312,1,NA
"143",0.111367904,0,0.675409837,1,NA
"146",0,0,0.626229509,1,NA
"147",0.001656502,0,0.632786886,1,NA
"148",0.001741446,0,0.665573771,1,NA
"151",0,0,0.386885247,1,NA
"154",0.115912613,0,0.619672131,1,NA
"155",0.073820578,0.147429271,0.668852459,1,NA
"156",0.010027333,0,0.547540984,1,NA
"157",0.010063536,0,0.537704919,1,NA
"159",0.227009265,0,0.73442623,1,NA
"161",0.059041873,0,0.688524591,1,NA
"162",0.00948435,0,0.681967214,1,NA
"163",0.036091197,0,0.727868853,1,NA
"164",0.019728939,0,0.695081967,1,NA
"166",0.00257019,0,0.681967214,1,NA
"167",0.000289598,0,0.750819673,1,NA
"168",0.001628994,0,0.727868853,1,NA
"169",0.000434397,0,0.724590165,1,NA
"170",0.003330382,0,0.724590165,1,NA
"172",0.063530674,0,0.616393443,1,NA
"173",0.037430574,0,0.600000001,1,NA
"174",0.049304031,0,0.619672131,1,NA
"175",0.01527631,0,0.609836066,1,NA
